,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
p5,0.19454545454545455,0.0,0.20777777777777776,0.0,0.0,0.25,0.07500000000000002,0.0,-1.0,0.16666666666666666,0.0,-1.0,0.0
p50,0.38461538461538464,0.2857142857142857,0.4391025641025641,0.0,0.0,0.3076923076923077,0.452991452991453,0.30952380952380953,-1.0,0.4,0.2857142857142857,-1.0,0.25
p95,0.7,0.6466666666666668,0.5700757575757576,0.37333333333333296,0.2857142857142857,0.42857142857142855,0.6084615384615384,0.6666666666666666,-1.0,0.6282051282051282,0.5392857142857141,-1.0,0.6866666666666664
