,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
p5,0.2785714285714286,0.0,0.34285714285714286,0.2857142857142857,0.0,0.2361111111111111,0.1,0.0,0.14285714285714285,0.26785714285714285,0.2222222222222222,0.14285714285714285,0.0
p50,0.5714285714285714,0.5,0.5714285714285714,0.42857142857142855,0.3125,0.3819444444444444,0.3,0.5,0.2857142857142857,0.4642857142857143,0.3333333333333333,0.21428571428571427,0.4
p95,0.7142857142857143,0.875,0.7142857142857143,0.5714285714285714,0.625,0.7083333333333333,0.5149999999999991,0.8333333333333334,0.5714285714285714,0.5982142857142857,0.4444444444444444,0.2857142857142857,0.8
