,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
p5,0.3333333333333333,0.020000000000000108,0.42857142857142855,0.2742857142857143,0.0230769230769231,0.20742424242424243,0.1696969696969697,0.2222222222222222,0.1596153846153846,0.24388888888888888,0.25,0.16666666666666666,0.0
p50,0.5393939393939393,0.5454545454545454,0.42857142857142855,0.46153846153846156,0.4660633484162896,0.4807692307692308,0.42857142857142855,0.5,0.4,0.4273061497326203,0.375,0.3333333333333333,0.452991452991453
p95,0.7692307692307693,0.75,0.42857142857142855,0.6,0.7142857142857143,0.6956043956043957,0.625,0.8,0.7214285714285714,0.6993589743589743,0.5352380952380951,0.4846153846153846,0.8
