,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
p5,0.2857142857142857,0.10000000000000009,0.4285714285714286,0.2857142857142857,0.018750000000000017,0.11805555555555555,0.1,0.16666666666666666,0.14285714285714285,0.13392857142857142,0.2222222222222222,0.14285714285714285,0.0
p50,0.5714285714285714,0.5,0.5714285714285714,0.42857142857142855,0.375,0.4722222222222222,0.3,0.5,0.42857142857142855,0.3348214285714286,0.3333333333333333,0.2857142857142857,0.6
p95,0.7142857142857143,0.75,0.7999999999999998,0.507142857142857,0.625,0.6020833333333335,0.5,0.8333333333333334,0.7142857142857143,0.5982142857142857,0.4444444444444444,0.4285714285714285,0.8299999999999983
