,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
p5,0.18181818181818182,0.0,0.3076923076923077,0.0,0.0,0.0090909090909091,0.2263888888888889,0.2222222222222222,0.0,0.0,0.0,0.0,0.0
p50,0.5,0.4,0.3076923076923077,0.0,0.5,0.27884615384615385,0.4722222222222222,0.5,0.0,0.2222222222222222,0.2,0.25,0.3333333333333333
p95,0.6358974358974359,0.8,0.3076923076923077,0.0,0.7664335664335663,0.7209090909090908,0.8283333333333331,0.8,0.0,0.5357142857142857,0.3333333333333333,0.5,0.8399999999999996
