,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
p5,0.21555555555555556,0.0,-1.0,-1.0,0.0,0.0,0.25,0.0,0.0,-1.0,0.0,0.0,0.0
p50,0.5,0.25,-1.0,-1.0,0.36363636363636365,0.2,0.5,0.5393939393939393,0.3333333333333333,-1.0,0.25,0.0,0.4444444444444444
p95,0.8,0.5,-1.0,-1.0,0.6333333333333333,0.4177777777777777,0.7754010695187166,0.9166666666666666,0.6666666666666666,-1.0,0.6,0.0,0.9090909090909091
