,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
p5,0.02727272727272728,0.0,0.2727272727272727,0.0,0.0,0.0,0.13333333333333344,0.0,-1.0,0.0,0.0,-1.0,0.0
p50,0.3333333333333333,0.36363636363636365,0.2727272727272727,0.2857142857142857,0.0,0.0,0.5,0.5,-1.0,0.0,0.30952380952380953,-1.0,0.3333333333333333
p95,0.5,0.7030303030303027,0.2727272727272727,0.5,0.2857142857142857,0.18181818181818182,0.7252747252747247,0.8,-1.0,0.49807692307692303,0.6666666666666666,-1.0,0.8
