,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
p5,0.15833333333333335,0.0,0.23333333333333334,0.16666666666666666,0.0,0.13392857142857142,0.1,0.0,0.0,0.18333333333333335,0.0,0.0,0.0
p50,0.5,0.5,0.5,0.3333333333333333,0.3125,0.29910714285714285,0.3,0.5,0.16666666666666666,0.45,0.16666666666666666,0.1,0.4
p95,0.6666666666666666,0.875,0.6666666666666666,0.5,0.625,0.6696428571428572,0.5149999999999991,0.8333333333333334,0.5,0.6333333333333333,0.3333333333333333,0.2,0.8
