,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
p5,-1.0,0.0,0.08444444444444445,-1.0,0.0,-1.0,0.17272727272727276,0.0,-1.0,-1.0,0.0,-1.0,0.0
p50,-1.0,0.3666666666666667,0.606060606060606,-1.0,0.125,-1.0,0.4,0.45,-1.0,-1.0,0.26785714285714285,-1.0,0.4722222222222222
p95,-1.0,0.6190476190476191,0.7736363636363637,-1.0,0.36745476745476735,-1.0,0.6708333333333331,0.7619047619047619,-1.0,-1.0,0.4222222222222222,-1.0,0.8545454545454545
