,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
p5,0.3333333333333333,0.0,0.37987012987012986,0.27999999999999997,0.1,0.2967032967032967,0.18181818181818182,0.0,0.15664335664335666,0.2967032967032967,0.25,0.15219780219780218,0.0
p50,0.5714285714285714,0.5,0.5166666666666666,0.5,0.41428571428571426,0.44505494505494503,0.4,0.5,0.36363636363636365,0.45,0.375,0.2,0.4
p95,0.7916666666666665,0.75,0.6333333333333333,0.6666666666666666,0.6880952380952381,0.7334680025856497,0.5714285714285714,0.8,0.6615384615384614,0.6354478854478854,0.5216666666666666,0.36363636363636365,0.7272727272727273
