,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
p5,0.2,0.0,0.25555555555555554,0.16282051282051282,0.1,0.17424242424242425,0.203030303030303,0.0,0.0,0.1834090909090909,0.0,0.0,0.0
p50,0.5,0.5,0.46153846153846156,0.4,0.41428571428571426,0.3484848484848485,0.4,0.5,0.2222222222222222,0.39743589743589747,0.18181818181818182,0.0,0.4
p95,0.7490909090909089,0.75,0.6107692307692307,0.6,0.6880952380952381,0.6930735930735931,0.5714285714285714,0.8,0.5945454545454545,0.6194696969696969,0.38181818181818183,0.25,0.7272727272727273
