,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
p5,0.225,0.0,0.4208333333333333,0.0,0.0,0.23529411764705882,0.1166666666666667,0.0,-1.0,0.15384615384615385,0.0,-1.0,0.0
p50,0.46153846153846156,0.36363636363636365,0.4722222222222222,0.2857142857142857,0.0,0.3076923076923077,0.5,0.5,-1.0,0.3333333333333333,0.30952380952380953,-1.0,0.3333333333333333
p95,0.6363636363636364,0.7090909090909083,0.5,0.5,0.2857142857142857,0.46153846153846156,0.7307692307692306,0.8,-1.0,0.6533333333333331,0.6666666666666666,-1.0,0.8
