,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
p5,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.08333333333333333,0.0,-1.0,-1.0,0.0,-1.0,0.0
p50,-1.0,0.30000000000000004,-1.0,0.0,0.2,-1.0,0.36363636363636365,0.3333333333333333,-1.0,-1.0,0.14285714285714285,-1.0,0.25
p95,-1.0,0.4444444444444444,-1.0,0.3333333333333333,0.38333333333333336,-1.0,0.6333333333333333,0.7,-1.0,-1.0,0.5,-1.0,0.8
