,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
p5,0.3333333333333333,0.0,0.3831168831168831,0.0,0.1,0.21153846153846156,0.19090909090909092,0.0,0.18181818181818182,0.2088888888888889,0.18181818181818182,0.1972727272727273,0.0
p50,0.5714285714285714,0.4,0.5333333333333333,0.2857142857142857,0.4444444444444444,0.46153846153846156,0.4,0.5,0.25,0.4444444444444444,0.36363636363636365,0.2857142857142857,0.2857142857142857
p95,0.7884615384615383,0.8,0.6666666666666666,0.5999999999999996,0.7482517482517483,0.7696969696969695,0.6666666666666666,0.8272727272727274,0.3333333333333333,0.6399999999999999,0.5,0.5,0.8
