,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
p5,0.25,0.0,0.38636363636363635,0.0,0.0,0.2,0.19181818181818183,0.029999999999999985,0.16666666666666666,0.19363636363636366,0.18181818181818182,0.1990909090909091,0.0
p50,0.5393939393939393,0.3333333333333333,0.5333333333333333,0.2857142857142857,0.4444444444444444,0.5,0.4,0.5,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.30952380952380953,0.2857142857142857
p95,0.7692307692307693,0.7333333333333334,0.7333333333333333,0.5714285714285714,0.7335664335664336,0.7272727272727273,0.6939393939393939,0.8,0.3333333333333333,0.6666666666666666,0.4,0.5,0.8
