,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
p5,-1.0,0.0,0.06333333333333334,-1.0,0.0,-1.0,0.19090909090909092,0.0,-1.0,-1.0,0.0,-1.0,0.0
p50,-1.0,0.3666666666666667,0.5227272727272727,-1.0,0.125,-1.0,0.4,0.42371794871794877,-1.0,-1.0,0.26785714285714285,-1.0,0.4722222222222222
p95,-1.0,0.6190476190476191,0.6968531468531467,-1.0,0.34503968253968254,-1.0,0.7083333333333333,0.7619047619047619,-1.0,-1.0,0.4222222222222222,-1.0,0.8545454545454545
