,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
p5,0.35454545454545455,0.0,-1.0,-1.0,0.0,0.2300653594771242,0.25,0.0,0.0,-1.0,0.0,0.16041666666666665,0.0
p50,0.5714285714285714,0.25,-1.0,-1.0,0.36363636363636365,0.4,0.5,0.5393939393939393,0.3333333333333333,-1.0,0.25,0.25,0.4444444444444444
p95,0.8333333333333334,0.5,-1.0,-1.0,0.6333333333333333,0.5485714285714285,0.7754010695187166,0.9166666666666666,0.6666666666666666,-1.0,0.6,0.29285714285714276,0.9090909090909091
