,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
p5,0.2,0.0,0.25555555555555554,0.16282051282051282,0.09090909090909091,0.17424242424242425,0.22424242424242424,0.0,0.0,0.1809090909090909,0.0,0.0,0.0
p50,0.5,0.5,0.46153846153846156,0.4,0.4,0.3484848484848485,0.4,0.5,0.2222222222222222,0.39743589743589747,0.18181818181818182,0.0,0.4222222222222222
p95,0.7490909090909089,0.75,0.6107692307692307,0.6,0.6904761904761905,0.6930735930735931,0.7333333333333334,0.8272727272727274,0.5575757575757577,0.579090909090909,0.4,0.25,0.7272727272727273
