,,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
method1,count,25.0,120.0,1.0,8.0,28.0,39.0,94.0,63.0,66.0,18.0,54.0,9.0,79.0
method1,mean,0.5408570514452867,0.22048090798090791,-1.0,-1.0,0.4002943485086342,0.16703443196655868,0.5142488074434257,0.5971114863972007,0.285355721719358,-1.0,0.27698011864678534,0.0,0.47301643504175134
method1,std,0.18569153092822865,0.17328412401004964,,0.0,0.20704711712897939,0.14438759857637534,0.19121943110530776,0.2164280583584471,0.20048051133633144,0.0,0.18215178669645432,0.0,0.2724668546458612
method1,min,0.2,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
method1,25%,0.4444444444444444,0.16666666666666666,-1.0,-1.0,0.25,0.0,0.4,0.5,0.20555555555555557,-1.0,0.2,0.0,0.2857142857142857
method1,50%,0.5333333333333333,0.2222222222222222,-1.0,-1.0,0.4,0.18181818181818182,0.5,0.5714285714285714,0.2857142857142857,-1.0,0.25,0.0,0.4444444444444444
method1,75%,0.6666666666666666,0.2857142857142857,-1.0,-1.0,0.5785714285714285,0.26785714285714285,0.6666666666666666,0.7386363636363636,0.4,-1.0,0.4,0.0,0.641025641025641
method1,max,0.9090909090909091,0.8888888888888888,-1.0,-1.0,0.7272727272727273,0.4,0.9230769230769231,1.0,0.8,-1.0,0.6666666666666666,0.0,1.0
