,,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
method1,count,14.0,99.0,2.0,1.0,15.0,22.0,85.0,50.0,39.0,14.0,44.0,9.0,50.0
method1,mean,0.37377602556173983,0.3873475009838645,0.3375,0.0,0.114021164021164,0.053331390831390824,0.44574476273438207,0.477936507936508,-1.0,0.22840651412079982,0.2943001443001443,-1.0,0.37381762681762676
method1,std,0.1517936396313596,0.1826732357052686,0.053033008588991036,,0.19357170671082036,0.09206256974155379,0.19022842122368824,0.2725108519442362,0.0,0.25218214235299274,0.22465206875698068,0.0,0.28728091791911486
method1,min,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
method1,25%,0.3159090909090909,0.25,0.31875000000000003,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,-1.0,0.0,0.0,-1.0,0.1488095238095238
method1,50%,0.42261904761904756,0.4,0.3375,0.0,0.0,0.0,0.5,0.5,-1.0,0.09090909090909091,0.2857142857142857,-1.0,0.3484848484848485
method1,75%,0.452020202020202,0.5,0.35625,0.0,0.2361111111111111,0.09375,0.5714285714285714,0.6666666666666666,-1.0,0.5,0.5,-1.0,0.5714285714285714
method1,max,0.5555555555555556,0.8571428571428571,0.375,0.0,0.6666666666666666,0.25,0.8235294117647058,1.0,-1.0,0.5714285714285714,0.8,-1.0,0.8888888888888888
