,,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
method1,count,26.0,123.0,1.0,9.0,24.0,39.0,85.0,52.0,70.0,28.0,60.0,9.0,78.0
method1,mean,0.32685359512282586,0.3733734648368793,0.30000000000000004,0.21164021164021163,0.1042027417027417,0.06662859932090702,0.4471398209633504,0.4254379167840706,-1.0,0.23549525870954444,0.2912962962962963,-1.0,0.3439334881642573
method1,std,0.17470574663437968,0.183305498568361,,0.2154217388593645,0.16307987157706907,0.09893530766540669,0.19399539463128512,0.2702097416541343,0.0,0.24476233226878902,0.19912275243227134,0.0,0.2535740963648333
method1,min,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
method1,25%,0.23557692307692307,0.25,0.30000000000000004,0.0,0.0,0.0,0.3333333333333333,0.25,-1.0,0.0,0.2222222222222222,-1.0,0.16666666666666666
method1,50%,0.3484848484848485,0.36363636363636365,0.30000000000000004,0.2857142857142857,0.0,0.0,0.5,0.4444444444444444,-1.0,0.19090909090909092,0.2857142857142857,-1.0,0.3333333333333333
method1,75%,0.452020202020202,0.5,0.30000000000000004,0.3333333333333333,0.2222222222222222,0.15384615384615385,0.5714285714285714,0.6666666666666666,-1.0,0.5,0.4583333333333333,-1.0,0.5454545454545454
method1,max,0.5714285714285714,0.8571428571428571,0.30000000000000004,0.5,0.6666666666666666,0.2857142857142857,0.7692307692307693,1.0,-1.0,0.6666666666666666,0.6666666666666666,-1.0,0.8888888888888888
