,,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
method2,count,26.0,123.0,1.0,9.0,24.0,39.0,85.0,52.0,70.0,28.0,60.0,9.0,78.0
method2,mean,0.4871794871794871,0.20325203252032492,-1.0,-1.0,0.3666666666666667,0.14102564102564102,0.42857142857142844,0.5923076923076924,0.35714285714285715,-1.0,0.22999999999999995,0.0,0.4666666666666667
method2,std,0.22072142786315227,0.16788704211394465,,0.0,0.21802805297497374,0.12412537013991405,0.1946814696769277,0.2375084343981418,0.2855704722025245,0.0,0.15976677917769241,0.0,0.30522151490380406
method2,min,0.16666666666666666,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
method2,25%,0.3333333333333333,0.1,-1.0,-1.0,0.2,0.0,0.2857142857142857,0.4,0.08333333333333333,-1.0,0.2,0.0,0.2
method2,50%,0.5,0.2,-1.0,-1.0,0.4,0.16666666666666666,0.42857142857142855,0.6,0.3333333333333333,-1.0,0.2,0.0,0.4
method2,75%,0.6666666666666666,0.2,-1.0,-1.0,0.45000000000000007,0.16666666666666666,0.5714285714285714,0.8,0.5833333333333334,-1.0,0.4,0.0,0.7500000000000001
method2,max,0.8333333333333334,0.8,-1.0,-1.0,0.8,0.3333333333333333,0.8571428571428571,1.0,1.0,-1.0,0.6,0.0,1.0
