,,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
method1,count,35.0,61.0,7.0,55.0,31.0,33.0,31.0,36.0,39.0,29.0,21.0,18.0,48.0
method1,mean,-1.0,0.25298185421136243,-1.0,0.060591630591630585,0.15450588837685614,-1.0,0.35813953072017585,0.34382716049382717,-1.0,-1.0,0.16965574108431247,-1.0,0.32717502405002413
method1,std,0.0,0.14852388086706303,0.0,0.14013118870746308,0.16121336540503609,0.0,0.18507511437105872,0.30363643938694695,0.0,0.0,0.18082894377489603,0.0,0.25813537406398895
method1,min,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0
method1,25%,-1.0,0.1111111111111111,-1.0,0.0,0.0,-1.0,0.225,0.0,-1.0,-1.0,0.0,-1.0,0.14285714285714285
method1,50%,-1.0,0.30000000000000004,-1.0,0.0,0.2,-1.0,0.36363636363636365,0.3333333333333333,-1.0,-1.0,0.14285714285714285,-1.0,0.25
method1,75%,-1.0,0.36363636363636365,-1.0,0.0,0.2857142857142857,-1.0,0.4888888888888889,0.6666666666666666,-1.0,-1.0,0.29292929292929293,-1.0,0.5
method1,max,-1.0,0.5,-1.0,0.6666666666666666,0.5,-1.0,0.75,1.0,-1.0,-1.0,0.5,-1.0,0.8888888888888888
