,,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
method2,count,80.0,91.0,9.0,71.0,40.0,42.0,40.0,41.0,55.0,36.0,23.0,22.0,54.0
method2,mean,0.425,0.2351648351648349,-1.0,-1.0,0.35500000000000004,0.1746031746031746,0.4321428571428571,0.5365853658536586,0.3696969696969695,-1.0,0.24347826086956523,0.0,0.4185185185185184
method2,std,0.20352035391702025,0.17021138907816064,0.0,0.0,0.21477477768165681,0.12182210225046254,0.18998333673384454,0.27726891059130265,0.31211957764927856,0.0,0.2408811229943512,0.0,0.31146281408260346
method2,min,0.0,0.0,-1.0,-1.0,0.0,0.0,0.14285714285714285,0.0,0.0,-1.0,0.0,0.0,0.0
method2,25%,0.3333333333333333,0.2,-1.0,-1.0,0.2,0.16666666666666666,0.2857142857142857,0.4,0.0,-1.0,0.0,0.0,0.2
method2,50%,0.41666666666666663,0.2,-1.0,-1.0,0.4,0.16666666666666666,0.42857142857142855,0.6,0.3333333333333333,-1.0,0.2,0.0,0.4
method2,75%,0.6666666666666666,0.4,-1.0,-1.0,0.6,0.3333333333333333,0.5714285714285714,0.8,0.6666666666666666,-1.0,0.4,0.0,0.6
method2,max,0.8333333333333334,0.6,-1.0,-1.0,0.6,0.3333333333333333,1.0,1.0,1.0,-1.0,0.6,0.0,1.0
