,,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
method1_sim_addAU,count,22.0,128.0,3.0,9.0,26.0,35.0,93.0,62.0,64.0,19.0,54.0,9.0,80.0
method1_sim_addAU,mean,-1.0,0.34014470772283273,0.5574980574980576,-1.0,0.1935758685758686,-1.0,0.43172323494904147,0.4353794502988053,-1.0,-1.0,0.2376914751914752,-1.0,0.44273275335775325
method1_sim_addAU,std,0.0,0.17418765360735858,0.22839238673919274,0.0,0.14994994188944327,0.0,0.19572562328627724,0.21926345645952416,0.0,0.0,0.16279742053346047,0.0,0.25664080061839784
method1_sim_addAU,min,-1.0,0.0,0.3484848484848485,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0
method1_sim_addAU,25%,-1.0,0.2361111111111111,0.4356060606060606,-1.0,0.09027777777777778,-1.0,0.29292929292929293,0.28874458874458875,-1.0,-1.0,0.1111111111111111,-1.0,0.26785714285714285
method1_sim_addAU,50%,-1.0,0.3484848484848485,0.5227272727272727,-1.0,0.20202020202020202,-1.0,0.45,0.3804945054945055,-1.0,-1.0,0.26785714285714285,-1.0,0.4222222222222222
method1_sim_addAU,75%,-1.0,0.4722222222222222,0.662004662004662,-1.0,0.29292929292929293,-1.0,0.55,0.6101190476190477,-1.0,-1.0,0.34285714285714286,-1.0,0.6093073593073592
method1_sim_addAU,max,-1.0,0.8035714285714286,0.8012820512820513,-1.0,0.4949494949494949,-1.0,0.8166666666666667,0.9,-1.0,-1.0,0.5857142857142856,-1.0,0.9444444444444444
