,,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
method1,count,13.0,96.0,1.0,1.0,14.0,25.0,76.0,47.0,44.0,17.0,49.0,9.0,52.0
method1,mean,-1.0,0.3346858003108002,0.5227272727272727,-1.0,0.17784735106163677,-1.0,0.41706100916627237,0.4427450209365104,-1.0,-1.0,0.22579410385532836,-1.0,0.4051902157671388
method1,std,0.0,0.17058412536384368,,,0.15953607721529858,0.0,0.19251797389687245,0.2315984979752614,0.0,0.0,0.1618833301054823,0.0,0.2756286909971415
method1,min,-1.0,0.0,0.5227272727272727,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0
method1,25%,-1.0,0.2361111111111111,0.5227272727272727,-1.0,0.027777777777777776,-1.0,0.29292929292929293,0.30952380952380953,-1.0,-1.0,0.09090909090909091,-1.0,0.19713203463203466
method1,50%,-1.0,0.315018315018315,0.5227272727272727,-1.0,0.13392857142857142,-1.0,0.4444444444444444,0.3666666666666667,-1.0,-1.0,0.26785714285714285,-1.0,0.4098290598290598
method1,75%,-1.0,0.4722222222222222,0.5227272727272727,-1.0,0.3151785714285714,-1.0,0.55,0.65,-1.0,-1.0,0.34285714285714286,-1.0,0.6190476190476191
method1,max,-1.0,0.8035714285714286,0.5227272727272727,-1.0,0.4949494949494949,-1.0,0.8166666666666667,0.9,-1.0,-1.0,0.5357142857142857,-1.0,0.9444444444444444
