,,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
method1,count,26.0,123.0,1.0,9.0,24.0,39.0,85.0,52.0,70.0,28.0,60.0,9.0,78.0
method1,mean,0.5035525560412437,0.20753361363117456,-1.0,-1.0,0.3711920024420025,0.15433046926259597,0.5041705679940974,0.5940715801292725,0.2715460729746442,-1.0,0.25601611351611353,0.0,0.43881915804992727
method1,std,0.20179917539093273,0.16942474882503053,,0.0,0.20780934984789506,0.13204189228050686,0.19082699818785342,0.21611656157936973,0.20221403146356492,0.0,0.17095899095119654,0.0,0.268666029088084
method1,min,0.16666666666666666,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
method1,25%,0.35,0.07142857142857142,-1.0,-1.0,0.24305555555555555,0.0,0.4,0.5,0.05,-1.0,0.18181818181818182,0.0,0.25416666666666665
method1,50%,0.5166666666666666,0.2,-1.0,-1.0,0.3666666666666667,0.18181818181818182,0.5,0.5454545454545454,0.25,-1.0,0.25,0.0,0.4444444444444444
method1,75%,0.6538461538461539,0.25,-1.0,-1.0,0.5113636363636364,0.22875816993464052,0.6666666666666666,0.7329545454545454,0.4,-1.0,0.4,0.0,0.6115384615384616
method1,max,0.9090909090909091,0.8888888888888888,-1.0,-1.0,0.7272727272727273,0.4,0.9230769230769231,1.0,0.8,-1.0,0.6666666666666666,0.0,1.0
