,,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
method2_sim_addAU_baseline_max,count,15.0,100.0,2.0,1.0,15.0,23.0,78.0,44.0,41.0,18.0,42.0,14.0,51.0
method2_sim_addAU_baseline_max,mean,0.5523809523809523,0.63,0.5,0.0,0.3714285714285714,0.4855072463768116,0.4820512820512819,0.5113636363636364,0.3333333333333335,0.5416666666666666,0.3190476190476191,0.48214285714285715,0.5196078431372549
method2_sim_addAU_baseline_max,std,0.16078040967746793,0.3304420057921195,0.10101525445522107,,0.22780483693674813,0.21268511531942366,0.242146027501379,0.20772462165139727,1.6860227157175433e-16,0.19647631199834395,0.09935915448290938,0.2071854825411862,0.3494393268326489
method2_sim_addAU_baseline_max,min,0.2857142857142857,0.0,0.42857142857142855,0.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.25,0.2,0.25,0.0
method2_sim_addAU_baseline_max,25%,0.42857142857142855,0.5,0.46428571428571425,0.0,0.2857142857142857,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.5,0.2,0.25,0.25
method2_sim_addAU_baseline_max,50%,0.5714285714285714,0.5,0.5,0.0,0.42857142857142855,0.5,0.4,0.5,0.3333333333333333,0.5,0.4,0.5,0.5
method2_sim_addAU_baseline_max,75%,0.7142857142857143,1.0,0.5357142857142857,0.0,0.5,0.6666666666666666,0.6,0.6666666666666666,0.3333333333333333,0.75,0.4,0.6875,0.75
method2_sim_addAU_baseline_max,max,0.7142857142857143,1.0,0.5714285714285714,0.0,0.8571428571428571,0.8333333333333334,1.0,1.0,0.3333333333333333,0.75,0.4,0.75,1.0
