,,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
method2_sim_addAU,count,36.0,59.0,7.0,54.0,31.0,34.0,25.0,30.0,44.0,31.0,27.0,18.0,48.0
method2_sim_addAU,mean,-1.0,0.23898305084745775,-1.0,0.10185185185185185,0.29838709677419356,-1.0,0.3626666666666666,0.4666666666666667,-1.0,-1.0,0.18672839506172836,-1.0,0.328125
method2_sim_addAU,std,0.0,0.14973188584535935,0.0,0.22528032075845922,0.3254442786324929,0.0,0.240431710486382,0.45359356965986813,0.0,0.0,0.23353081454531202,0.0,0.29244134709264646
method2_sim_addAU,min,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0
method2_sim_addAU,25%,-1.0,0.1,-1.0,0.0,0.0,-1.0,0.2,0.0,-1.0,-1.0,0.0,-1.0,0.125
method2_sim_addAU,50%,-1.0,0.30000000000000004,-1.0,0.0,0.25,-1.0,0.3333333333333333,0.5,-1.0,-1.0,0.125,-1.0,0.25
method2_sim_addAU,75%,-1.0,0.30000000000000004,-1.0,0.0,0.625,-1.0,0.5,1.0,-1.0,-1.0,0.41666666666666663,-1.0,0.5
method2_sim_addAU,max,-1.0,0.5,-1.0,1.0,0.75,-1.0,1.0,1.0,-1.0,-1.0,0.6666666666666666,-1.0,1.0
