,,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
method2,count,35.0,58.0,7.0,55.0,31.0,34.0,29.0,30.0,45.0,31.0,24.0,18.0,47.0
method2,mean,0.3678571428571429,0.3577586206896552,0.30357142857142855,0.1,0.06451612903225806,0.06470588235294117,0.3990147783251233,0.4666666666666667,-1.0,0.3387096774193548,0.31944444444444436,-1.0,0.30319148936170215
method2,std,0.20324313791428159,0.2251318763891181,0.21478117324605614,0.22360679774997896,0.1338698881504165,0.09497161598676337,0.19609641803813538,0.45359356965986813,0.0,0.20964639969058807,0.2688168147106417,0.0,0.28994082142050026
method2,min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
method2,25%,0.1875,0.25,0.1875,0.0,0.0,0.0,0.2857142857142857,0.0,-1.0,0.25,0.0,-1.0,0.0
method2,50%,0.5,0.25,0.375,0.0,0.0,0.0,0.42857142857142855,0.5,-1.0,0.5,0.3333333333333333,-1.0,0.25
method2,75%,0.5,0.5,0.4375,0.0,0.0,0.2,0.42857142857142855,1.0,-1.0,0.5,0.3333333333333333,-1.0,0.5
method2,max,0.625,0.75,0.5,1.0,0.3333333333333333,0.2,1.0,1.0,-1.0,0.75,1.0,-1.0,1.0
