,,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
method2_sim_addAU_baseline_max,count,13.0,96.0,1.0,1.0,14.0,25.0,76.0,47.0,44.0,17.0,49.0,9.0,52.0
method2_sim_addAU_baseline_max,mean,0.6263736263736264,0.1958333333333331,-1.0,-1.0,0.3285714285714286,0.3155555555555556,0.42293233082706744,0.5659574468085107,0.3333333333333333,-1.0,0.22448979591836735,0.25,0.4615384615384616
method2_sim_addAU_baseline_max,std,0.18012147770174722,0.16410309126096162,,,0.23014567770660602,0.08290010846518292,0.19579357375331158,0.22962786127036153,0.24902912254587617,0.0,0.1561657936362532,0.0,0.3206328583664708
method2_sim_addAU_baseline_max,min,0.2857142857142857,0.0,-1.0,-1.0,0.0,0.2222222222222222,0.0,0.0,0.0,-1.0,0.0,0.25,0.0
method2_sim_addAU_baseline_max,25%,0.5714285714285714,0.0,-1.0,-1.0,0.2,0.2222222222222222,0.2857142857142857,0.4,0.3333333333333333,-1.0,0.2,0.25,0.2
method2_sim_addAU_baseline_max,50%,0.5714285714285714,0.2,-1.0,-1.0,0.30000000000000004,0.3333333333333333,0.42857142857142855,0.6,0.3333333333333333,-1.0,0.2,0.25,0.4
method2_sim_addAU_baseline_max,75%,0.7142857142857143,0.2,-1.0,-1.0,0.4,0.3333333333333333,0.5714285714285714,0.8,0.3333333333333333,-1.0,0.4,0.25,0.6499999999999999
method2_sim_addAU_baseline_max,max,0.8571428571428571,0.8,-1.0,-1.0,0.8,0.4444444444444444,0.8571428571428571,1.0,1.0,-1.0,0.6,0.25,1.0
