,,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
method1,count,35.0,56.0,7.0,55.0,32.0,33.0,26.0,30.0,43.0,32.0,31.0,17.0,47.0
method1,mean,0.4723612895041465,0.46185828060828066,0.4420024420024421,0.38051120596575133,0.41555631868131865,0.38830546557819284,0.41835427016422505,0.4651412476412476,0.2495545797871379,0.3981432629870129,0.1491239942852846,0.08088235294117647,0.3966682253916295
method1,std,0.18017330079155913,0.22724450214705594,0.1400383541619283,0.1511397222880728,0.18727354618042721,0.16477165537174035,0.11362818059541453,0.2423929430214544,0.1876303512215681,0.1427375782797037,0.14447133458298186,0.11643446780965526,0.23490634260790355
method1,min,0.0,0.0,0.2222222222222222,0.0,0.0,0.14835164835164835,0.18181818181818182,0.0,0.0,0.1111111111111111,0.0,0.0,0.0
method1,25%,0.39610389610389607,0.2857142857142857,0.3666666666666667,0.26785714285714285,0.3269230769230769,0.2967032967032967,0.3584558823529412,0.36363636363636365,0.15384615384615385,0.3111111111111111,0.0,0.0,0.2222222222222222
method1,50%,0.5,0.5,0.46153846153846156,0.4,0.41428571428571426,0.3484848484848485,0.4,0.5,0.2222222222222222,0.39743589743589747,0.18181818181818182,0.0,0.4
method1,75%,0.6,0.6666666666666666,0.5307692307692308,0.4807692307692308,0.5454545454545454,0.5166666666666666,0.525,0.6115384615384616,0.38181818181818183,0.5222222222222221,0.2222222222222222,0.25,0.5227272727272727
method1,max,0.8,0.8,0.6153846153846154,0.6666666666666666,0.7692307692307693,0.8012820512820513,0.625,0.9090909090909091,0.6666666666666666,0.6636363636363636,0.5454545454545454,0.25,0.9090909090909091
