,,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
method2,count,12.0,98.0,1.0,1.0,16.0,22.0,81.0,55.0,40.0,11.0,45.0,9.0,53.0
method2,mean,-1.0,0.34506802721088436,0.5357142857142857,-1.0,0.19583333333333336,-1.0,0.4170781893004115,0.6196969696969696,-1.0,-1.0,0.22611111111111096,-1.0,0.509433962264151
method2,std,0.0,0.1690797676636131,,,0.1790406533599438,0.0,0.21586752156257613,0.30249461630231006,0.0,0.0,0.16119424883843053,0.0,0.32571025995471453
method2,min,-1.0,0.0,0.5357142857142857,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0
method2,25%,-1.0,0.225,0.5357142857142857,-1.0,0.07500000000000001,-1.0,0.29166666666666663,0.41666666666666663,-1.0,-1.0,0.08333333333333333,-1.0,0.225
method2,50%,-1.0,0.3333333333333333,0.5357142857142857,-1.0,0.175,-1.0,0.4,0.5833333333333333,-1.0,-1.0,0.225,-1.0,0.55
method2,75%,-1.0,0.45,0.5357142857142857,-1.0,0.2791666666666667,-1.0,0.5,1.0,-1.0,-1.0,0.3333333333333333,-1.0,0.775
method2,max,-1.0,0.675,0.5357142857142857,-1.0,0.6333333333333333,-1.0,0.9166666666666667,1.0,-1.0,-1.0,0.55,-1.0,1.0
