,,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
method2,count,22.0,128.0,1.0,12.0,25.0,35.0,92.0,62.0,64.0,22.0,53.0,9.0,79.0
method2,mean,-1.0,0.2421875000000003,-1.0,0.3333333333333333,0.28,-1.0,0.37536231884057986,0.7338709677419355,-1.0,-1.0,0.2413522012578617,-1.0,0.49050632911392406
method2,std,0.0,0.14667408565106108,,0.24618298195866548,0.30889588321417727,0.0,0.235436340043076,0.3589344651755408,0.0,0.0,0.2184037996982319,0.0,0.33479576144644607
method2,min,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0
method2,25%,-1.0,0.1,-1.0,0.0,0.0,-1.0,0.16666666666666666,0.5,-1.0,-1.0,0.0,-1.0,0.25
method2,50%,-1.0,0.25,-1.0,0.5,0.25,-1.0,0.3333333333333333,1.0,-1.0,-1.0,0.125,-1.0,0.375
method2,75%,-1.0,0.30000000000000004,-1.0,0.5,0.5,-1.0,0.525,1.0,-1.0,-1.0,0.3333333333333333,-1.0,0.75
method2,max,-1.0,0.6,-1.0,0.5,1.0,-1.0,1.0,1.0,-1.0,-1.0,0.875,-1.0,1.0
