,,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
method1_sim_addAU_baseline_max,count,32.0,62.0,7.0,54.0,29.0,34.0,24.0,31.0,46.0,32.0,27.0,17.0,49.0
method1_sim_addAU_baseline_max,mean,0.5837654532967033,0.23303873545809028,-1.0,-1.0,0.35695128626163103,0.38677994894075757,0.46651357901357904,0.5069851295657746,0.2890096618357489,-1.0,0.21822724600502383,0.2357885578473813,0.40014373381720314
method1_sim_addAU_baseline_max,std,0.16746938246280477,0.16299357990538701,0.0,0.0,0.2046367717863919,0.09104442339944077,0.1357938450033216,0.2504144607822508,0.21269235608208734,0.0,0.22770260221865957,0.05068221039679669,0.269072330523674
method1_sim_addAU_baseline_max,min,0.2,0.0,-1.0,-1.0,0.0,0.2222222222222222,0.16666666666666666,0.0,0.0,-1.0,0.0,0.125,0.0
method1_sim_addAU_baseline_max,25%,0.4903846153846154,0.1456043956043956,-1.0,-1.0,0.25,0.3382352941176471,0.4214285714285714,0.4222222222222222,0.05,-1.0,0.0,0.2,0.2222222222222222
method1_sim_addAU_baseline_max,50%,0.5584415584415584,0.25,-1.0,-1.0,0.36363636363636365,0.4,0.5,0.5454545454545454,0.30952380952380953,-1.0,0.2,0.25,0.4444444444444444
method1_sim_addAU_baseline_max,75%,0.7175324675324675,0.3333333333333333,-1.0,-1.0,0.5454545454545454,0.42669172932330823,0.5083333333333333,0.6076923076923078,0.43333333333333335,-1.0,0.4222222222222222,0.25,0.6
method1_sim_addAU_baseline_max,max,0.8333333333333334,0.5714285714285714,-1.0,-1.0,0.6666666666666666,0.5714285714285714,0.7692307692307693,1.0,0.8,-1.0,0.6,0.3333333333333333,1.0
