,,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
method2_sim_addAU_baseline_max,count,13.0,96.0,1.0,1.0,14.0,25.0,76.0,47.0,44.0,17.0,49.0,9.0,52.0
method2_sim_addAU_baseline_max,mean,0.5604395604395604,0.5442708333333334,0.42857142857142855,0.42857142857142855,0.3125,0.38472222222222213,0.31842105263157894,0.4822695035460993,0.3896103896103896,0.4227941176470589,0.31065759637188206,0.25396825396825395,0.45384615384615395
method2_sim_addAU_baseline_max,std,0.16964888171295844,0.22651475979173794,,,0.20065996879528084,0.18401685851602564,0.1448774436695047,0.2033358355547853,0.16976948095051778,0.136250013766974,0.08171135032529368,0.11904761904761904,0.2886490089660346
method2_sim_addAU_baseline_max,min,0.2857142857142857,0.0,0.42857142857142855,0.42857142857142855,0.0,0.11805555555555555,0.0,0.0,0.14285714285714285,0.13392857142857142,0.2222222222222222,0.14285714285714285,0.0
method2_sim_addAU_baseline_max,25%,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855,0.25,0.2361111111111111,0.2,0.3333333333333333,0.2857142857142857,0.33035714285714285,0.2222222222222222,0.14285714285714285,0.2
method2_sim_addAU_baseline_max,50%,0.5714285714285714,0.5,0.42857142857142855,0.42857142857142855,0.3125,0.35416666666666663,0.3,0.5,0.3571428571428571,0.4642857142857143,0.3333333333333333,0.2857142857142857,0.4
method2_sim_addAU_baseline_max,75%,0.7142857142857143,0.75,0.42857142857142855,0.42857142857142855,0.375,0.4722222222222222,0.4,0.6666666666666666,0.5714285714285714,0.4642857142857143,0.3333333333333333,0.2857142857142857,0.6499999999999999
method2_sim_addAU_baseline_max,max,0.7142857142857143,1.0,0.42857142857142855,0.42857142857142855,0.75,0.8819444444444444,0.6,1.0,0.7142857142857143,0.5982142857142857,0.4444444444444444,0.42857142857142855,1.0
