,,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
method2,count,26.0,128.0,1.0,13.0,23.0,36.0,89.0,61.0,62.0,22.0,57.0,9.0,77.0
method2,mean,0.40384615384615385,0.412109375,0.375,0.34615384615384615,0.1449275362318841,0.07777777777777778,0.38041733547351503,0.7377049180327869,-1.0,0.22727272727272727,0.350877192982456,-1.0,0.461038961038961
method2,std,0.21303665267886507,0.20474163609098323,,0.24019223070763068,0.1965892748731962,0.09888264649460883,0.18891328249914216,0.3606308983001085,0.0,0.2771999762623129,0.2473755309239707,0.0,0.33703656062644954
method2,min,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
method2,25%,0.25,0.25,0.375,0.0,0.0,0.0,0.2857142857142857,0.5,-1.0,0.0,0.3333333333333333,-1.0,0.25
method2,50%,0.5,0.5,0.375,0.5,0.0,0.0,0.42857142857142855,1.0,-1.0,0.0,0.3333333333333333,-1.0,0.5
method2,75%,0.625,0.5,0.375,0.5,0.3333333333333333,0.2,0.5714285714285714,1.0,-1.0,0.5,0.6666666666666666,-1.0,0.75
method2,max,0.625,1.0,0.375,0.5,0.6666666666666666,0.2,0.7142857142857143,1.0,-1.0,0.75,1.0,-1.0,1.0
