,,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
method2_sim_addAU_baseline_max,count,78.0,86.0,8.0,70.0,40.0,43.0,37.0,45.0,59.0,33.0,29.0,20.0,56.0
method2_sim_addAU_baseline_max,mean,0.48351648351648346,0.5406976744186046,0.5357142857142857,0.3952380952380952,0.36428571428571427,0.47674418604651153,0.4378378378378378,0.4296296296296297,0.3333333333333333,0.5454545454545454,0.31034482758620696,0.375,0.375
method2_sim_addAU_baseline_max,std,0.17719247798458354,0.3851288270258313,0.14787119128764736,0.24926854116206973,0.2019009606387623,0.20759837136827014,0.23015858222750019,0.21464349374058078,0.0,0.18172938172408495,0.10122403577569515,0.12824729401064425,0.31622776601683794
method2_sim_addAU_baseline_max,min,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.25,0.2,0.25,0.0
method2_sim_addAU_baseline_max,25%,0.2857142857142857,0.125,0.42857142857142855,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.2,0.3333333333333333,0.3333333333333333,0.5,0.2,0.25,0.25
method2_sim_addAU_baseline_max,50%,0.5714285714285714,0.5,0.5714285714285714,0.3333333333333333,0.2857142857142857,0.5,0.4,0.5,0.3333333333333333,0.5,0.4,0.375,0.25
method2_sim_addAU_baseline_max,75%,0.5714285714285714,1.0,0.6071428571428571,0.6666666666666666,0.5714285714285714,0.5833333333333333,0.6,0.5,0.3333333333333333,0.75,0.4,0.5,0.5
method2_sim_addAU_baseline_max,max,0.8571428571428571,1.0,0.7142857142857143,1.0,0.7142857142857143,0.8333333333333334,1.0,0.8333333333333334,0.3333333333333333,0.75,0.4,0.5,1.0
