,,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
method2_sim_addAU_baseline_max,count,28.0,117.0,1.0,8.0,28.0,37.0,92.0,57.0,71.0,18.0,52.0,16.0,79.0
method2_sim_addAU_baseline_max,mean,0.5663265306122448,0.21367521367521342,-1.0,-1.0,0.3928571428571428,0.3303303303303304,0.4363354037267081,0.6070175438596492,0.3943661971830987,-1.0,0.2576923076923076,0.25,0.5012658227848102
method2_sim_addAU_baseline_max,std,0.17161428589989972,0.17365541727601633,,0.0,0.21417986803856212,0.08875949875359458,0.19567438252395317,0.24774673784994267,0.28345856702876115,0.0,0.16959716267298514,0.0,0.30863374314336756
method2_sim_addAU_baseline_max,min,0.2857142857142857,0.0,-1.0,-1.0,0.0,0.2222222222222222,0.0,0.0,0.0,-1.0,0.0,0.25,0.0
method2_sim_addAU_baseline_max,25%,0.42857142857142855,0.2,-1.0,-1.0,0.2,0.2222222222222222,0.2857142857142857,0.4,0.3333333333333333,-1.0,0.2,0.25,0.2
method2_sim_addAU_baseline_max,50%,0.5714285714285714,0.2,-1.0,-1.0,0.4,0.3333333333333333,0.42857142857142855,0.6,0.3333333333333333,-1.0,0.2,0.25,0.4
method2_sim_addAU_baseline_max,75%,0.7142857142857143,0.2,-1.0,-1.0,0.6,0.4444444444444444,0.5714285714285714,0.8,0.6666666666666666,-1.0,0.4,0.25,0.8
method2_sim_addAU_baseline_max,max,0.8571428571428571,0.8,-1.0,-1.0,0.8,0.4444444444444444,0.8571428571428571,1.0,1.0,-1.0,0.6,0.25,1.0
