,,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
method1_sim_addAU_baseline_max,count,22.0,130.0,1.0,12.0,24.0,35.0,98.0,61.0,64.0,21.0,51.0,9.0,76.0
method1_sim_addAU_baseline_max,mean,-1.0,0.2511073968766276,-1.0,0.248015873015873,0.1494212962962963,-1.0,0.40762321578648103,0.45562961628535403,-1.0,-1.0,0.20396188778541718,-1.0,0.3969239094239092
method1_sim_addAU_baseline_max,std,0.0,0.14353737843020672,,0.20214739090396872,0.16638886190277918,0.0,0.22190756753397664,0.2524738195798137,0.0,0.0,0.17266706570297374,0.0,0.25740570986087286
method1_sim_addAU_baseline_max,min,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0
method1_sim_addAU_baseline_max,25%,-1.0,0.125,-1.0,0.0,0.0,-1.0,0.25,0.3333333333333333,-1.0,-1.0,0.0,-1.0,0.2107142857142857
method1_sim_addAU_baseline_max,50%,-1.0,0.25,-1.0,0.2857142857142857,0.08333333333333333,-1.0,0.4,0.4444444444444444,-1.0,-1.0,0.2,-1.0,0.3484848484848485
method1_sim_addAU_baseline_max,75%,-1.0,0.3333333333333333,-1.0,0.375,0.2857142857142857,-1.0,0.6,0.6666666666666666,-1.0,-1.0,0.32916666666666666,-1.0,0.5833333333333333
method1_sim_addAU_baseline_max,max,-1.0,0.625,-1.0,0.5,0.5,-1.0,0.9090909090909091,1.0,-1.0,-1.0,0.5714285714285714,-1.0,0.8888888888888888
