,,Amusement,Anger,Awe,Contempt,Disgust,Embarrassment,Fear,Happiness,Interest,Pride,Sadness,Shame,Surprise
method2_sim_addAU_baseline_max,count,80.0,91.0,9.0,71.0,40.0,42.0,40.0,41.0,55.0,36.0,23.0,22.0,54.0
method2_sim_addAU_baseline_max,mean,-1.0,0.3274725274725276,0.5461640211640213,-1.0,0.1625,-1.0,0.40937499999999993,0.5975609756097561,-1.0,-1.0,0.20905797101449278,-1.0,0.4245370370370371
method2_sim_addAU_baseline_max,std,0.0,0.21329822665960804,0.28729706542964334,0.0,0.15940371438440248,0.0,0.20601865856776824,0.3226961284675,0.0,0.0,0.19126956629755734,0.0,0.31083009451946525
method2_sim_addAU_baseline_max,min,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0
method2_sim_addAU_baseline_max,25%,-1.0,0.225,0.4642857142857143,-1.0,0.0,-1.0,0.26875,0.41666666666666663,-1.0,-1.0,0.0,-1.0,0.225
method2_sim_addAU_baseline_max,50%,-1.0,0.3333333333333333,0.6333333333333333,-1.0,0.1,-1.0,0.4,0.5833333333333333,-1.0,-1.0,0.225,-1.0,0.45
method2_sim_addAU_baseline_max,75%,-1.0,0.45,0.7333333333333334,-1.0,0.25,-1.0,0.5,1.0,-1.0,-1.0,0.3333333333333333,-1.0,0.55
method2_sim_addAU_baseline_max,max,-1.0,0.9166666666666667,0.8166666666666667,-1.0,0.6333333333333333,-1.0,1.0,1.0,-1.0,-1.0,0.55,-1.0,1.0
