EmotionCategory,Index,AUPattern
Amusement,1,"[6, 12, 26, 55]"
Amusement,2,"[6, 12, 26, 56]"
Amusement,3,"[6, 12, 27, 55]"
Amusement,4,"[6, 12, 27, 56]"
Anger,1,"[4, 5, 7, 23]"
Awe,1,"[1, 5, 26, 57]"
Awe,2,"[1, 5, 27, 57]"
Contempt,1,"[12, 14]"
Disgust,1,"[9, 15, 16]"
Embarrassment,1,"[12, 24, 51, 54, 64]"
Fear,1,"[1, 2, 4, 5, 7, 20, 26]"
Happiness,1,"[6, 12]"
Interest,1,"[-1]"
Pride,1,"[6, 12, 24, 53]"
Sadness,1,"[1, 4, 5]"
Shame,1,"[-1, 54, 64]"
Surprise,1,"[1, 2, 5, 26]"
