EmotionCategory,Index,AUPattern
Amusement,1,"[6, 7, 12, 25, 26, 53]"
Anger,1,"[4, 5, 17, 23, 24]"
Awe,1,"[-1]"
Contempt,1,"[-1]"
Disgust,1,"[7, 9, 19, 25, 26]"
Embarrassment,1,"[7, 12, 15, 52, 54, 64]"
Fear,1,"[1, 2, 4, 5, 7, 20, 25]"
Happiness,1,"[6, 7, 12, 25, 26]"
Interest,1,"[1, 2, 12]"
Pride,1,"[-1, 53, 64]"
Sadness,1,"[1, 4, 6, 15, 17]"
Shame,1,"[54, 64]"
Surprise,1,"[1, 2, 5, 25, 26]"
