EmotionCategory,Index,AUPattern
Amusement,1,"[6, 7, 12, 16, 25, 53]"
Anger,1,"[4, 7]"
Awe,1,"[1, 2, 5, 12, 25, 53]"
Contempt,1,"[4, 14, 25]"
Disgust,1,"[4, 6, 7, 9, 10, 25, 26]"
Embarrassment,1,"[6, 7, 12, 25, 54]"
Fear,1,"[1, 2, 5, 7, 25]"
Happiness,1,"[6, 7, 12, 16, 25, 26]"
Interest,1,"[3, 85]"
Pride,1,"[7, 12, 53]"
Sadness,1,"[4, 43, 54]"
Shame,1,"[4, 17, 54]"
Surprise,1,"[1, 2, 5, 25]"
