,k,n,p_hat,CI_lower,CI_upper,significant
Amusement,83.0,214.0,0.39,0.32,0.45,1.0
Anger,208.0,410.0,0.51,0.46,0.56,1.0
Awe,59.0,155.0,0.38,0.31,0.46,1.0
Contempt,50.0,159.0,0.32,0.25,0.39,1.0
Disgust,58.0,157.0,0.37,0.3,0.45,1.0
Embarrassment,95.0,249.0,0.38,0.32,0.44,1.0
Fear,107.0,204.0,0.52,0.46,0.59,1.0
Happiness,126.0,280.0,0.45,0.39,0.51,1.0
Interest,43.0,82.0,0.52,0.42,0.63,1.0
Pride,121.0,323.0,0.38,0.32,0.43,1.0
Sadness,4.0,7.0,0.56,0.25,0.84,1.0
Shame,25.0,60.0,0.42,0.3,0.54,1.0
Surprise,168.0,337.0,0.5,0.44,0.55,1.0
