,CI_lower,CI_upper,k,n,p_hat,significant
Amusement,0.29,0.4,89.0,259.0,0.34,1.0
Anger,0.46,0.62,76.0,141.0,0.54,1.0
Awe,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Contempt,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Disgust,0.3,0.4,123.0,350.0,0.35,1.0
Embarrassment,0.09,0.9,1.0,2.0,0.5,0.0
Fear,0.47,0.58,157.0,300.0,0.52,1.0
Happiness,0.37,0.46,178.0,429.0,0.41,1.0
Interest,0.44,0.59,80.0,155.0,0.52,1.0
Pride,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Sadness,0.39,0.53,94.0,203.0,0.46,1.0
Shame,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Surprise,0.42,0.53,163.0,343.0,0.48,1.0
