,CI_lower,CI_upper,k,n,p_hat,significant
Amusement,0.06,0.13,24.0,261.0,0.09,0.0
Anger,0.22,0.45,20.0,62.0,0.33,1.0
Awe,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Contempt,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Disgust,0.11,0.21,33.0,217.0,0.15,0.0
Embarrassment,0.09,0.38,6.0,30.0,0.21,0.0
Fear,0.3,0.41,95.0,272.0,0.35,1.0
Happiness,0.19,0.28,67.0,291.0,0.23,1.0
Interest,0.23,0.41,33.0,105.0,0.32,1.0
Pride,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Sadness,0.22,0.41,26.0,84.0,0.31,1.0
Shame,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Surprise,0.28,0.4,74.0,218.0,0.34,1.0
