,CI_lower,CI_upper,k,n,p_hat,significant
Amusement,0.13,0.28,20.0,104.0,0.2,0.0
Anger,0.33,0.48,71.0,176.0,0.4,1.0
Awe,0.03,0.12,6.0,101.0,0.07,0.0
Contempt,0.03,0.2,3.0,40.0,0.09,0.0
Disgust,0.07,0.81,1.0,3.0,0.38,0.0
Embarrassment,0.01,0.7,0.0,2.0,0.21,0.0
Fear,0.29,0.41,83.0,236.0,0.35,1.0
Happiness,0.32,0.5,43.0,105.0,0.41,1.0
Interest,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Pride,0.22,0.42,24.0,78.0,0.31,1.0
Sadness,0.18,0.32,32.0,132.0,0.24,1.0
Shame,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Surprise,0.29,0.45,48.0,132.0,0.37,1.0
