,CI_lower,CI_upper,k,n,p_hat,significant
Amusement,0.33,0.46,83.0,214.0,0.39,1.0
Anger,0.49,0.58,233.0,435.0,0.54,1.0
Awe,0.31,0.46,59.0,155.0,0.38,1.0
Contempt,0.24,0.38,54.0,177.0,0.31,1.0
Disgust,0.3,0.41,110.0,311.0,0.35,1.0
Embarrassment,0.3,0.39,124.0,362.0,0.34,1.0
Fear,0.44,0.54,197.0,398.0,0.5,1.0
Happiness,0.39,0.51,126.0,280.0,0.45,1.0
Interest,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Pride,0.45,0.62,67.0,126.0,0.53,1.0
Sadness,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Shame,0.29,0.57,19.0,45.0,0.42,1.0
Surprise,0.45,0.57,122.0,240.0,0.51,1.0
