,CI_lower,CI_upper,k,n,p_hat,significant
Amusement,0.07,0.16,20.0,186.0,0.11,0.0
Anger,0.25,0.44,32.0,95.0,0.34,1.0
Awe,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Contempt,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Disgust,0.1,0.19,36.0,257.0,0.14,0.0
Embarrassment,0.01,0.84,0.0,1.0,0.29,0.0
Fear,0.3,0.43,77.0,215.0,0.36,1.0
Happiness,0.17,0.27,68.0,312.0,0.22,1.0
Interest,0.19,0.36,27.0,101.0,0.27,1.0
Pride,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Sadness,0.18,0.32,33.0,138.0,0.24,1.0
Shame,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Surprise,0.26,0.38,81.0,255.0,0.32,1.0
