,CI_lower,CI_upper,k,n,p_hat,significant
Amusement,0.37,0.5,83.0,191.0,0.43,1.0
Anger,0.48,0.6,146.0,272.0,0.54,1.0
Awe,0.25,0.39,55.0,174.0,0.32,1.0
Contempt,0.32,0.44,85.0,225.0,0.38,1.0
Disgust,0.3,0.76,8.0,15.0,0.53,1.0
Embarrassment,0.25,0.75,6.0,12.0,0.5,1.0
Fear,0.46,0.59,131.0,249.0,0.53,1.0
Happiness,0.51,0.63,145.0,255.0,0.57,1.0
Interest,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Pride,0.41,0.57,74.0,150.0,0.49,1.0
Sadness,0.35,0.5,71.0,169.0,0.42,1.0
Shame,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Surprise,0.46,0.6,102.0,191.0,0.53,1.0
