,k,n,p_hat,CI_lower,CI_upper,significant
Amusement,17.0,144.0,0.12,0.07,0.18,0.0
Anger,108.0,306.0,0.35,0.3,0.41,1.0
Awe,8.0,102.0,0.08,0.04,0.15,0.0
Contempt,8.0,115.0,0.08,0.04,0.13,0.0
Disgust,16.0,111.0,0.15,0.09,0.22,0.0
Embarrassment,18.0,168.0,0.11,0.07,0.16,0.0
Fear,45.0,139.0,0.32,0.25,0.4,1.0
Happiness,49.0,199.0,0.25,0.19,0.31,1.0
Interest,19.0,56.0,0.34,0.23,0.47,1.0
Pride,33.0,232.0,0.14,0.1,0.19,0.0
Sadness,3.0,4.0,0.68,0.28,0.94,1.0
Shame,7.0,40.0,0.19,0.09,0.33,0.0
Surprise,81.0,245.0,0.33,0.28,0.39,1.0
