,CI_lower,CI_upper,k,n,p_hat,significant
Amusement,0.36,0.52,67.0,154.0,0.44,1.0
Anger,0.46,0.59,117.0,223.0,0.52,1.0
Awe,0.25,0.39,45.0,143.0,0.32,1.0
Contempt,0.29,0.53,25.0,62.0,0.41,1.0
Disgust,0.45,0.93,7.0,9.0,0.74,1.0
Embarrassment,0.22,0.88,3.0,5.0,0.58,1.0
Fear,0.43,0.54,149.0,307.0,0.49,1.0
Happiness,0.52,0.67,94.0,157.0,0.6,1.0
Interest,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Pride,0.4,0.59,54.0,109.0,0.5,1.0
Sadness,0.34,0.48,72.0,176.0,0.41,1.0
Shame,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Surprise,0.45,0.6,95.0,181.0,0.52,1.0
