,CI_lower,CI_upper,k,n,p_hat,significant
Amusement,0.3,0.4,102.0,292.0,0.35,1.0
Anger,0.49,0.62,124.0,223.0,0.55,1.0
Awe,0.26,0.38,75.0,237.0,0.32,1.0
Contempt,0.23,0.36,54.0,189.0,0.29,1.0
Disgust,0.31,0.4,135.0,380.0,0.36,1.0
Embarrassment,0.31,0.42,108.0,296.0,0.37,1.0
Fear,0.46,0.56,171.0,334.0,0.51,1.0
Happiness,0.37,0.47,159.0,377.0,0.42,1.0
Interest,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Pride,0.36,0.53,58.0,131.0,0.44,1.0
Sadness,0.35,0.83,8.0,13.0,0.6,1.0
Shame,0.22,0.46,17.0,52.0,0.33,1.0
Surprise,0.45,0.58,115.0,225.0,0.51,1.0
