,CI_lower,CI_upper,k,n,p_hat,significant
Amusement,0.12,0.26,23.0,128.0,0.18,0.0
Anger,0.32,0.46,79.0,203.0,0.39,1.0
Awe,0.04,0.13,9.0,124.0,0.08,0.0
Contempt,0.02,0.09,6.0,144.0,0.05,0.0
Disgust,0.03,0.48,1.0,8.0,0.18,0.0
Embarrassment,0.0,0.4,0.0,6.0,0.09,0.0
Fear,0.31,0.44,68.0,182.0,0.37,1.0
Happiness,0.29,0.43,59.0,165.0,0.36,1.0
Interest,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Pride,0.18,0.35,25.0,99.0,0.26,1.0
Sadness,0.14,0.28,24.0,118.0,0.21,0.0
Shame,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Surprise,0.29,0.45,50.0,136.0,0.37,1.0
