,CI_lower,CI_upper,k,n,p_hat,significant
Amusement,0.28,0.37,116.0,358.0,0.33,1.0
Anger,0.39,0.6,43.0,87.0,0.49,1.0
Awe,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Contempt,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Disgust,0.28,0.39,95.0,285.0,0.33,1.0
Embarrassment,0.28,0.57,18.0,43.0,0.42,1.0
Fear,0.45,0.55,181.0,364.0,0.5,1.0
Happiness,0.37,0.47,166.0,396.0,0.42,1.0
Interest,0.45,0.6,81.0,154.0,0.53,1.0
Pride,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Sadness,0.38,0.57,55.0,116.0,0.47,1.0
Shame,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Surprise,0.43,0.54,141.0,290.0,0.49,1.0
