,k,n,p_hat,CI_lower,CI_upper,significant
Amusement,21.0,207.0,0.1,0.07,0.15,0.0
Anger,111.0,295.0,0.38,0.32,0.43,1.0
Awe,8.0,166.0,0.05,0.03,0.09,0.0
Contempt,16.0,203.0,0.08,0.05,0.12,0.0
Disgust,37.0,240.0,0.16,0.11,0.21,0.0
Embarrassment,24.0,221.0,0.11,0.07,0.16,0.0
Fear,79.0,238.0,0.33,0.27,0.39,1.0
Happiness,64.0,276.0,0.23,0.19,0.29,1.0
Interest,29.0,122.0,0.24,0.17,0.32,1.0
Pride,34.0,204.0,0.17,0.12,0.22,0.0
Sadness,9.0,16.0,0.56,0.32,0.77,1.0
Shame,5.0,26.0,0.21,0.08,0.38,0.0
Surprise,73.0,200.0,0.37,0.3,0.44,1.0
