,CI_lower,CI_upper,k,n,p_hat,significant
Amusement,0.08,0.18,17.0,144.0,0.12,0.0
Anger,0.33,0.43,121.0,320.0,0.38,1.0
Awe,0.04,0.15,8.0,102.0,0.08,0.0
Contempt,0.04,0.13,9.0,130.0,0.07,0.0
Disgust,0.11,0.2,34.0,230.0,0.15,0.0
Embarrassment,0.08,0.15,29.0,262.0,0.11,0.0
Fear,0.27,0.38,92.0,285.0,0.32,1.0
Happiness,0.19,0.31,49.0,199.0,0.25,1.0
Interest,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Pride,0.15,0.34,17.0,75.0,0.23,0.0
Sadness,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Shame,0.08,0.35,5.0,29.0,0.19,0.0
Surprise,0.26,0.4,56.0,171.0,0.33,1.0
