,CI_lower,CI_upper,k,n,p_hat,significant
Amusement,0.07,0.15,21.0,207.0,0.1,0.0
Anger,0.36,0.51,74.0,172.0,0.43,1.0
Awe,0.03,0.09,8.0,166.0,0.05,0.0
Contempt,0.04,0.13,11.0,143.0,0.08,0.0
Disgust,0.12,0.21,45.0,283.0,0.16,0.0
Embarrassment,0.08,0.17,24.0,209.0,0.12,0.0
Fear,0.29,0.41,86.0,244.0,0.35,1.0
Happiness,0.19,0.28,64.0,276.0,0.23,1.0
Interest,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Pride,0.11,0.27,15.0,87.0,0.18,0.0
Sadness,0.27,0.79,6.0,11.0,0.54,1.0
Shame,0.07,0.3,6.0,39.0,0.17,0.0
Surprise,0.27,0.42,56.0,164.0,0.34,1.0
